Designator,Value,Package,Mid X, Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",-14.300000,114.400000,180.000000,top
"C2","100nF","C_0805_2012Metric",3.700000,114.400000,180.000000,top
"C3","100nF","C_0805_2012Metric",21.700000,114.400000,180.000000,top
"C4","100nF","C_0805_2012Metric",39.700000,114.400000,180.000000,top
"C5","100nF","C_0805_2012Metric",57.700000,114.400000,180.000000,top
"C6","100nF","C_0805_2012Metric",75.700000,114.400000,180.000000,top
"C7","100nF","C_0805_2012Metric",93.700000,114.400000,180.000000,top
"C8","100nF","C_0805_2012Metric",111.700000,114.400000,180.000000,top
"C9","100nF","C_0805_2012Metric",129.700000,114.400000,180.000000,top
"C10","100nF","C_0805_2012Metric",147.700000,114.400000,180.000000,top
"C11","100nF","C_0805_2012Metric",165.700000,114.400000,180.000000,top
"C12","100nF","C_0805_2012Metric",183.700000,114.400000,180.000000,top
"C13","100nF","C_0805_2012Metric",201.700000,114.400000,180.000000,top
"C14","100nF","C_0805_2012Metric",219.700000,114.400000,180.000000,top
"C15","100nF","C_0805_2012Metric",237.700000,114.400000,180.000000,top
"C16","100nF","C_0805_2012Metric",255.700000,114.400000,180.000000,top
"C17","100nF","C_0805_2012Metric",12.700000,129.400000,180.000000,top
"C18","100nF","C_0805_2012Metric",30.700000,129.400000,180.000000,top
"C19","100nF","C_0805_2012Metric",66.700000,129.400000,180.000000,top
"C20","100nF","C_0805_2012Metric",84.700000,129.400000,180.000000,top
"C21","100nF","C_0805_2012Metric",102.700000,129.400000,180.000000,top
"C22","100nF","C_0805_2012Metric",138.700000,129.400000,180.000000,top
"C23","100nF","C_0805_2012Metric",156.700000,129.400000,180.000000,top
"C24","100nF","C_0805_2012Metric",192.700000,129.400000,180.000000,top
"C25","100nF","C_0805_2012Metric",210.700000,129.400000,180.000000,top
"C26","100nF","C_0805_2012Metric",228.700000,129.400000,180.000000,top
"C27","100nF","C_0805_2012Metric",174.200000,143.650000,225.000000,top
"C28","100nF","C_0805_2012Metric",186.200000,143.650000,225.000000,top
"C29","100nF","C_0805_2012Metric",198.200000,143.650000,225.000000,top
"C30","100nF","C_0805_2012Metric",210.200000,143.650000,225.000000,top
"C31","100nF","C_0805_2012Metric",222.200000,143.650000,225.000000,top
"C32","100nF","C_0805_2012Metric",240.200000,143.650000,225.000000,top
"C33","100nF","C_0805_2012Metric",252.200000,143.650000,225.000000,top
"C34","100nF","C_0805_2012Metric",174.200000,155.650000,225.000000,top
"C35","100nF","C_0805_2012Metric",186.200000,155.650000,225.000000,top
"C36","100nF","C_0805_2012Metric",198.200000,155.650000,225.000000,top
"C37","100nF","C_0805_2012Metric",210.200000,155.650000,225.000000,top
"C38","100nF","C_0805_2012Metric",222.200000,155.650000,225.000000,top
"C39","100nF","C_0805_2012Metric",240.200000,155.650000,225.000000,top
"C40","100nF","C_0805_2012Metric",252.200000,155.650000,225.000000,top
"C41","100nF","C_0805_2012Metric",174.200000,167.650000,225.000000,top
"C42","100nF","C_0805_2012Metric",186.200000,167.650000,225.000000,top
"C43","100nF","C_0805_2012Metric",198.200000,167.650000,225.000000,top
"C44","100nF","C_0805_2012Metric",210.200000,167.650000,225.000000,top
"C45","100nF","C_0805_2012Metric",222.200000,167.650000,225.000000,top
"C46","100nF","C_0805_2012Metric",247.300000,167.800000,315.000000,top
"C47","100nF","C_0805_2012Metric",252.200000,167.650000,225.000000,top
"C48","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.600000,148.375000,180.000000,top
"C49","47uF","C_1206_3216Metric",88.931800,135.953800,180.000000,top
"C78","100nF","C_0805_2012Metric",0.551800,120.653800,0.000000,top
"C99","100nF","C_0805_2012Metric",174.200000,179.650000,225.000000,top
"C100","100nF","C_0805_2012Metric",186.200000,179.650000,225.000000,top
"C101","100nF","C_0805_2012Metric",198.200000,179.650000,225.000000,top
"C102","100nF","C_0805_2012Metric",210.200000,179.650000,225.000000,top
"C103","100nF","C_0805_2012Metric",222.200000,179.650000,225.000000,top
"C104","100nF","C_0805_2012Metric",240.200000,179.650000,225.000000,top
"C105","100nF","C_0805_2012Metric",252.894784,179.724784,45.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-16.100000,122.350000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",100.700000,182.400000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",113.100000,118.850000,0.000000,top
"FID5","Fiducial","Fiducial_1mm_Mask2mm",227.801041,184.013782,0.000000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",241.750000,115.850000,0.000000,top
"J1_KD028QVFMA17","Conn_02x25_Counter_Clockwise","F0501-B-50-20T-R",104.801041,156.625000,90.000000,top
"LED1","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-14.300000,109.613782,0.000000,top
"LED2","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",3.700000,109.613782,0.000000,top
"LED3","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.700000,109.613782,0.000000,top
"LED4","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.700000,109.613782,0.000000,top
"LED5","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.700000,109.613782,0.000000,top
"LED6","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.700000,109.613782,0.000000,top
"LED7","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",93.700000,109.613782,0.000000,top
"LED8","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.700000,109.613782,0.000000,top
"LED9","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.700000,109.613782,0.000000,top
"LED10","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.700000,109.613782,0.000000,top
"LED11","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",165.700000,109.613782,0.000000,top
"LED12","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",183.700000,109.613782,0.000000,top
"LED13","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",201.700000,109.613782,0.000000,top
"LED14","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",219.700000,109.613782,0.000000,top
"LED15","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",237.700000,109.613782,0.000000,top
"LED16","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",255.700000,109.613782,0.000000,top
"LED17","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",12.700000,125.150000,0.000000,top
"LED18","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",30.700000,125.150000,0.000000,top
"LED19","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",66.700000,125.150000,0.000000,top
"LED20","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",84.700000,125.150000,0.000000,top
"LED21","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.700000,125.150000,0.000000,top
"LED22","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.700000,125.150000,0.000000,top
"LED23","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",156.700000,125.150000,0.000000,top
"LED24","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",192.700000,125.150000,0.000000,top
"LED25","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",210.700000,125.150000,0.000000,top
"LED26","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.700000,125.150000,0.000000,top
"LED27","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",177.462000,140.134000,45.000000,top
"LED28","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.462000,140.134000,45.000000,top
"LED29","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",201.462000,140.134000,45.000000,top
"LED30","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",213.462000,140.134000,45.000000,top
"LED31","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",225.462000,140.134000,45.000000,top
"LED32","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.462000,140.134000,45.000000,top
"LED33","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",255.462000,140.134000,45.000000,top
"LED34","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",177.462000,152.134000,225.000000,top
"LED35","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.462000,152.134000,225.000000,top
"LED36","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",201.462000,152.134000,225.000000,top
"LED37","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",213.462000,152.134000,225.000000,top
"LED38","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",225.462000,152.134000,225.000000,top
"LED39","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.462000,152.134000,225.000000,top
"LED40","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",255.462000,152.134000,225.000000,top
"LED41","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",177.462000,164.134000,45.000000,top
"LED42","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.462000,164.134000,45.000000,top
"LED43","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",201.462000,164.134000,45.000000,top
"LED44","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",213.462000,164.134000,45.000000,top
"LED45","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",225.462000,164.134000,45.000000,top
"LED46","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.462000,164.134000,45.000000,top
"LED47","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",255.462000,164.134000,45.000000,top
"LED48","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",177.462000,176.134000,45.000000,top
"LED49","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.462000,176.134000,45.000000,top
"LED50","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",201.462000,176.134000,45.000000,top
"LED51","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",213.462000,176.134000,45.000000,top
"LED52","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",225.462000,176.134000,45.000000,top
"LED53","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.462000,176.134000,45.000000,top
"LED54","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",255.462000,176.134000,45.000000,top
"Q1","AO3400A","SOT-23",85.251041,175.875000,180.000000,top
"R1","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.101041,178.125000,180.000000,top
"R2","90","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.100000,175.875000,180.000000,top
"R5","90","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.100000,165.875000,180.000000,top
"R6","90","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.126041,167.875000,180.000000,top
"R7","90","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.100000,169.875000,180.000000,top
"R8","90","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.100000,171.875000,180.000000,top
"R9","90","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.100000,173.875000,180.000000,top
"R11","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.200000,124.604400,270.000000,top
"R208","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.156800,124.604400,90.000000,top
"U1","SN74LV1T34_SOT-23_A","SOT-23-5_HandSoldering",0.551800,124.653800,270.000000,top
"U2","TPS22918_SOT23-6_A","SOT-23-6",87.581800,132.603800,90.000000,top
