Comment,Designator,Footprint,LCSC, AssemblyOption, JLCASM, MPN, LCSC PN
"100nF","C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C29,C30,C28,C33,C31,C32,C34,C46,C45,C47,C42,C41,C44,C43,C39,C38,C40,C35,C37,C36,C27,C78,C105,C104,C103,C102,C101,C100,C99","Capacitor_SMD:C_0805_2012Metric","","","BASIC","CC0805KRX7R9BB104","C49678"
"100nF","C48","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","BASIC","CC0805KRX7R9BB104","C49678"
"47uF","C49","Capacitor_SMD:C_1206_3216Metric","","","EXT","CL31A476MQHNNNE","C68361"
"10nF","C50","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","BASIC","CL21B103KBANNNC","C1710"
"ALPS EC11 HOLE","ENC1,ENC2,ENC4,ENC3","OTTO_Footprints_Lib:ALPS_EC11_aux_hole","","","N/A","N/A",""
"Fiducial","FID1,FID2,FID3,FID4,FID5,FID7,FID8,FID9,FID10,FID11,FID6,FID12","Fiducial:Fiducial_1mm_Mask2mm","","DNP","N/A","N/A",""
"Tooling Hole","H101,H102,H103","OTTO_Footprints_Lib:JLC_TOOLING_HOLE","","DNP","N/A","N/A",""
"MountingHole","H201,H203,H205,H204,H202","OTTO_Footprints_Lib:Mounting_Hole_M2.5_Loose_Fit","","DNP","N/A","N/A",""
"MountingHole_Pad","H5,H2,H1,H3,H4","OTTO_Footprints_Lib:MountingHoleHole","","DNP","N/A","N/A",""
"Conn_01x20","J1","OTTO_Footprints_Lib:X10B25L20T_FPC_1x20-1MP_P1.00mm_Horizontal","","","DNP","X10B25L20T","C500179"
"Conn_02x25_Counter_Clockwise","J1_KD028QVFMA17","OTTO_Footprints_Lib:F0501-B-50-20T-R","","","DNP","F0501-B-50-20T-R","C481235"
"WS2812C","LED47,LED46,LED45,LED44,LED41,LED42,LED43,LED35,LED34,LED36,LED39,LED38,LED37,LED40,LED27,LED33,LED32,LED31,LED30,LED29,LED28,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED12,LED11,LED10,LED9,LED16,LED15,LED14,LED13,LED7,LED6,LED5,LED4,LED3,LED2,LED1,LED8,LED48,LED49,LED50,LED51,LED52,LED53,LED54","OTTO_Footprints_Lib:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","","","EXT","WS2812C","C114587"
"AO3400A","Q1","OTTO_Footprints_Lib:SOT-23","","","BASIC","AO3400A","C20917"
"47k","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","BASIC","0805W8F4702T5E","C17713"
"90","R2,R9,R8,R7,R6,R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","EXT","0805W8F900JT5E","C247027"
"100","R208","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","BASIC","0805W8F1000T5E","C114587"
"100k","R3,R11","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","BASIC","0805W8F1003T5E","C17407"
"0","R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","BASIC","0805W8F0000T5E","C17477"
"ALPS SKHC Hole","SW17,SW1,SW18,SW19,SW20,SW21,SW2,SW22,SW23,SW24,SW25,SW26,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16","OTTO_Footprints_Lib:ALPS_SKHC_aux_hole","","","N/A","",""
"6x6x13mm Hole","SW41,SW34,SW27,SW42,SW35,SW28,SW43,SW36,SW29,SW44,SW37,SW30,SW45,SW38,SW31,SW46,SW39,SW32,SW47,SW40,SW33,SW50,SW51,SW52,SW53,SW54,SW55,SW56","OTTO_Footprints_Lib:6x6mm_Switch_aux_hole","","","N/A","",""
"SN74LV1T34_SOT-23_A","U1","OTTO_Footprints_Lib:SOT-23-5_HandSoldering","","","EXT","SN74LV1T34DBVR","C100024"
"TPS22918_SOT23-6_A","U2","OTTO_Footprints_Lib:SOT-23-6","","","EXT","TPS22918DBVR","C131941"